Order	Family	MVZDatabase	Species	Asymmetry	Ellipticity	AvgLength (cm)	Number of images	Number of eggs
CHARADRIIFORMES	Haematopodidae	Haematopus bachmani	Haematopus bachmani	0.2345	0.4782	5.8174	7	13
CHARADRIIFORMES	Haematopodidae	Haematopus ostralegus	Haematopus ostralegus	0.2301	0.4354	5.7429	12	32
CHARADRIIFORMES	Haematopodidae	Haematopus palliatus	Haematopus palliatus	0.2184	0.4328	5.6441	3	8
CHARADRIIFORMES	Jacanidae	Actophilornis africanus	Actophilornis africanus	0.1951	0.4019	3.2687	1	2
CHARADRIIFORMES	Jacanidae	Jacana spinosa	Jacana spinosa	0.1114	0.3535	2.9039	13	46
CHARADRIIFORMES	Jacanidae	Metopidius indicus	Metopidius indicus	0.2154	0.4140	3.5105	1	1
CHARADRIIFORMES	Laridae	Anous minutus	Anous minutus	0.1427	0.4019	4.5097	1	1
CHARADRIIFORMES	Laridae	Anous stolidus	Anous stolidus	0.2528	0.4691	5.1864	18	18
CHARADRIIFORMES	Laridae	Chlidonias leucopterus	Chlidonias leucopterus	0.2220	0.3636	3.4227	3	6
CHARADRIIFORMES	Laridae	Chlidonias niger	Chlidonias niger	0.2706	0.4178	3.4035	52	105
CHARADRIIFORMES	Laridae	Creagrus furcatus	Creagrus furcatus	0.2181	0.4499	6.6143	2	2
CHARADRIIFORMES	Laridae	Gygis alba	Gygis alba	0.0871	0.4621	4.4579	2	2
CHARADRIIFORMES	Laridae	Larus argentatus	Larus argentatus	0.2685	0.4755	7.2042	12	31
CHARADRIIFORMES	Laridae	Larus atricilla	Larus atricilla	0.2444	0.4174	5.4455	17	48
CHARADRIIFORMES	Laridae	Larus californicus	Larus californicus	0.2662	0.4806	6.6474	21	51
CHARADRIIFORMES	Laridae	Larus canus	Larus canus	0.2173	0.4312	5.7221	12	33
CHARADRIIFORMES	Laridae	Larus cirrocephalus	Larus cirrocephalus	0.3232	0.5250	5.3752	1	2
